LOINC,MAP_TO,COMMENT
13099-7,31671-1,
13099-7,44753-2,
13100-3,31665-3,
13100-3,31666-1,
13101-1,31663-8,
13101-1,31664-6,
1310-2,976-1,
13102-9,31345-2,
13102-9,31400-5,
13103-7,31346-0,
13103-7,43601-4,
13104-5,31347-8,
13104-5,43600-6,
13105-2,17579-4,
13105-2,31678-6,
13106-0,17578-6,
13106-0,31674-5,
13107-8,31344-5,
13107-8,44740-9,
13108-6,17578-6,
13108-6,31674-5,
13109-4,31345-2,
13109-4,31400-5,
1311-0,977-9,
13110-2,31258-7,
13110-2,44739-1,
13111-0,44751-6,
13111-0,44752-4,
13112-8,42254-3,
13112-8,9423-5,
13113-6,21411-4,
13113-6,31522-6,
13114-4,17342-7,
13114-4,31539-0,
13115-1,12854-6,
13115-1,33615-6,
13116-9,31584-6,
13116-9,31585-3,
13118-5,31520-0,
13118-5,31521-8,
13121-9,13636-6,
13121-9,31592-9,
13122-7,31671-1,
13122-7,44753-2,
13123-5,31661-2,
13123-5,31662-0,
13124-3,31661-2,Ordinal
13124-3,31662-0,ACnc/Qn
13125-0,9610-7,
1312-8,978-7,
13130-0,13891-7,
13131-8,85953-8,
13132-6,86106-2,
13134-2,86145-0,
13135-9,85972-8,
13137-5,86019-7,
13138-3,86059-3,
13139-1,85967-8,
13140-9,85970-2,
13141-7,86093-2,
13142-5,86096-5,
13143-3,86119-5,
13144-1,86121-1,
13149-0,86159-1,
13150-8,86161-7,
13151-6,86178-1,
13152-4,86183-1,
13153-2,85984-3,
13154-0,85988-4,
13155-7,86003-1,
13156-5,86008-0,
13159-9,86033-8,
13160-7,86036-1,
13161-5,86073-4,
13162-3,86076-7,
13163-1,85972-8,
13165-6,86019-7,
13166-4,86059-3,
13168-0,86338-1,
13191-2,11572-5,
13222-5,13218-3,
13223-3,13217-5,
13224-1,13219-1,
13239-9,7883-2,
13296-9,11590-7,
13350-4,12208-5,
13352-0,12238-2,
13353-8,12209-3,
13360-3,10569-2,
13364-5,30060-8,
13365-2,27337-5,
13366-0,26587-6,
13367-8,26590-0,
13368-6,26589-2,
13369-4,26591-8,
13370-2,26592-6,
13373-6,26595-9,
13380-1,26598-3,
13382-7,26852-4,
13383-5,26819-3,
13384-3,26909-2,
13385-0,27217-9,
13386-8,26787-2,
13387-6,26985-2,
13388-4,27089-2,
13389-2,27256-7,
13390-0,27058-7,
13391-8,26750-0,
13392-6,26745-0,
13393-4,30070-7,
13400-7,27195-7,
13413-0,26932-4,
13445-2,12195-4,
13453-6,27353-2,if units are mg/dL
13453-6,53553-4,if units are mmol/L
13460-1,11054-4,
13491-6,13332-2,
13492-4,13343-9,
13493-2,13334-8,
13504-6,9586-9,
13520-2,12179-8,
13537-6,2885-2,
13541-8,11211-0,
13543-4,12242-4,
13598-8,783-1,
13615-0,26594-2,
13617-6,12839-7,
13621-8,5955-0,
13628-3,6800-7,
13630-9,13170-6,
13642-4,29279-7,
13642-4,5647-3,
13647-3,12998-1,
13668-9,47808-1,
13669-7,29505-5,
13670-5,29500-6,
13672-1,29502-2,
13673-9,29503-0,
13674-7,49814-7,
13675-4,25082-9,
13676-2,25083-7,
13677-0,29506-3,
13679-6,25084-5,
13680-4,25085-2,
13681-2,25086-0,
13681-2,28602-1,
13683-8,29508-9,
13685-3,29510-5,
13686-1,29511-3,
13687-9,29514-7,
13688-7,29515-4,
13689-5,29516-2,
13690-3,3124-5,
13692-9,25087-8,
13693-7,29518-8,
13696-0,25088-6,
13696-0,28585-8,
13697-8,25089-4,
13698-6,29519-6,
13704-2,22698-5,
13704-2,30068-1,
13713-3,25090-2,
13713-3,28587-4,
13714-1,26578-5,
13714-1,28588-2,
13718-2,22704-1,
13719-0,22695-1,
13723-2,22694-4,
13723-2,30161-4,
13724-0,25092-8,
13724-0,28599-9,
13726-5,25093-6,
13727-3,25094-4,
13729-9,25095-1,
13730-7,24456-6,
13731-5,25096-9,
13743-0,25101-7,
13745-5,25103-3,
13752-1,25107-4,
13758-8,26582-7,
13761-2,25108-2,
13762-0,25109-0,
13762-0,30050-9,
13764-6,25111-6,
13770-3,25113-2,
13773-7,25114-0,
13778-6,25118-1,
13780-2,25119-9,
13784-4,25120-7,
13785-1,25121-5,
13791-9,25124-9,
13792-7,25125-6,
13794-3,25126-4,
13798-4,56143-1,
13798-4,56971-5,
13800-8,24442-6,
13802-4,25129-8,
13803-2,25130-6,
13804-0,25131-4,
13806-5,25133-0,
13806-5,28610-4,
13807-3,25134-8,
13809-9,44405-9,
13809-9,56980-6,
13810-7,25135-5,
13812-3,25136-3,
13813-1,25137-1,
13816-4,24444-2,
13849-5,13342-1,
13870-1,44935-5,
13885-9,13738-0,
13899-0,12228-3,
13900-6,3074-2,
13906-3,12367-9,
13906-3,17256-9,
13910-5,4743-1,
13912-1,4747-2,
13939-4,13025-2,
14011-1,13064-1,
1405-0,1404-3,
14058-2,14031-9,
14059-0,14032-7,
14088-9,14087-1,
14091-3,14090-5,
14110-1,14017-8,
14111-9,14018-6,
14120-0,12841-3,
14134-1,4635-9,
14150-7,13962-6,
14153-1,25141-3,
14161-4,43159-3,
1420-9,1419-1,
14289-3,13960-0,
14291-9,32317-0,
14296-8,8099-4,
14297-6,3016-3,
14320-6,630-4,
14342-0,9641-2,
14395-8,12265-5,
14400-6,12191-3,
14440-2,9618-0,
14466-7,14465-9,C trach Urth Ql Cult
