PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,3,LP442092-5,17917-6,Bacteria Shlw Wnd Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,4,LP442092-5,17918-4,Bacteria Shlw Wnd Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,5,LP442092-5,17919-2,Bacteria Shlw Wnd Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,6,LP442092-5,17920-0,Bacteria Shlw Wnd Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,7,LP442092-5,47294-4,Bacteria Shlw Wnd Aerobe Cult org #7
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,8,LP442092-5,47295-1,Bacteria Shlw Wnd Aerobe Cult org #8
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,76,LP14082-9,LP373683-4,Bacteria | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,1,LP373683-4,41741-0,Deprecated Bacteria XXX
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,2,LP373683-4,23667-9,Bacteria Spec
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,3,LP373683-4,634-6,Bacteria Spec Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,4,LP373683-4,635-3,Bacteria Spec Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,5,LP373683-4,21020-3,Bacteria Spec Anaerobe+Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,6,LP373683-4,6463-4,Bacteria Spec Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,7,LP373683-4,14325-5,Bacteria Spec Envir Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,8,LP373683-4,32355-0,Bacteria Spec Resp Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,9,LP373683-4,636-1,Bacteria Spec BFld Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,10,LP373683-4,44038-8,Bacteria Spec Ql
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,11,LP373683-4,32763-5,Bacteria Spec Ql Wet Prep
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,12,LP373683-4,105626-6,Bacteria DNA Spec Ql NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,13,LP373683-4,44843-1,Bacteria Spec Anaerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,14,LP373683-4,44841-5,Bacteria Spec Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,15,LP373683-4,48561-5,Bacteria Spec Resp Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,16,LP373683-4,48567-2,Bacteria Spec Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,17,LP373683-4,44853-0,Bacteria Spec Anaerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,18,LP373683-4,44842-3,Bacteria Spec Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,19,LP373683-4,48562-3,Bacteria Spec Resp Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,20,LP373683-4,44856-3,Bacteria Spec Anaerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,21,LP373683-4,44844-9,Bacteria Spec Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,22,LP373683-4,48563-1,Bacteria Spec Resp Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,23,LP373683-4,44857-1,Bacteria Spec Anaerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,24,LP373683-4,44845-6,Bacteria Spec Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,25,LP373683-4,48564-9,Bacteria Spec Resp Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,26,LP373683-4,44858-9,Bacteria Spec Anaerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,27,LP373683-4,44846-4,Bacteria Spec Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,28,LP373683-4,48565-6,Bacteria Spec Resp Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,29,LP373683-4,48568-0,Bacteria Spec Aerobe Cult org #7
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,30,LP373683-4,44859-7,Bacteria Spec Anaerobe Cult org #7
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,31,LP373683-4,44848-0,Bacteria Spec Cult org #7
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,32,LP373683-4,48566-4,Bacteria Spec Resp Cult org #7
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,33,LP373683-4,48569-8,Bacteria Spec Aerobe Cult org #8
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373683-4,34,LP373683-4,44850-6,Bacteria Spec Cult org #8
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,77,LP14082-9,LP442093-3,Bacteria | Blood product unit | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442093-3,1,LP442093-3,599-1,Bacteria BPU Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442093-3,2,LP442093-3,87935-3,Bacteria BPU Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442093-3,3,LP442093-3,68366-4,Bacteria BPU Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,78,LP14082-9,LP442094-1,Bacteria | Blood product unit | Platelets | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442094-1,1,LP442094-1,91063-8,Bacteria Plts BPU Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442094-1,2,LP442094-1,91062-0,Bacteria Plts BPU Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,79,LP14082-9,LP442095-8,Bacteria | Blood product unit.autologous | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442095-8,1,LP442095-8,76693-1,Bacteria BPU.autologous Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,80,LP14082-9,LP442097-4,Bacteria | Donor | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442097-4,1,LP442097-4,LP442096-6,Bacteria | Donor | Bone | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442097-4.LP442096-6,1,LP442096-6,74348-4,Bacteria Bone Donr Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,81,LP14082-9,LP442098-2,Bacteria | Embryo | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442098-2,1,LP442098-2,20694-6,Bacteria Embryo Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9,2,LP98185-9,LP442274-9,Aac(6') aph(2') gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP442274-9,1,LP442274-9,LP443177-3,Aac(6') aph(2') gene | Positive blood culture | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP442274-9.LP443177-3,1,LP443177-3,105807-2,Aac(6') aph(2') Ct Bld +Qn NAA+prb
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9,3,LP98185-9,LP433103-1,Bacteria producing polysaccharide from sucrose
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP433103-1,1,LP433103-1,LP433345-8,Bacteria producing polysaccharide from sucrose | Isolate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP433103-1.LP433345-8,1,LP433345-8,100872-1,Bact polysach from sucrose Islt Ql
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9,4,LP98185-9,LP172705-8,Bacteria biotype
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP172705-8,1,LP172705-8,LP373684-2,Bacteria biotype | Isolate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9,5,LP98185-9,LP310336-5,Bacterial strain
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP310336-5,1,LP310336-5,LP373685-9,Bacterial strain | Isolate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP310336-5.LP373685-9,1,LP373685-9,612-2,Bacteria Islt Subtyping
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP310336-5.LP373685-9,2,LP373685-9,91895-3,Bacterial strain Islt Seq
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9,6,LP98185-9,LP37205-9,Bacteria identified
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9,1,LP37205-9,LP183553-9,Gram positive bacteria
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9,1,LP183553-9,LP183526-5,Gram positive bacteria identified
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9.LP183526-5,1,LP183526-5,LP373686-7,Gram positive bacteria identified | Positive blood culture | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9,2,LP183553-9,LP444439-6,Gram positive bacteria | Isolate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9.LP444439-6,1,LP444439-6,100905-9,GP bact Islt Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9,3,LP183553-9,LP267097-6,Gram positive bacilli
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9.LP267097-6,1,LP267097-6,LP444440-4,Gram positive bacilli | Isolate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9.LP267097-6.LP444440-4,1,LP444440-4,90069-6,Gram pos bacilli Islt Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9,4,LP183553-9,LP411470-0,Gram positive bacteria DNA
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183553-9.LP411470-0,1,LP411470-0,LP427561-8,Gram positive bacteria DNA | Positive blood culture | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9,2,LP37205-9,LP183758-4,Gram negative bacteria
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4,1,LP183758-4,LP183759-2,Gram negative bacteria identified
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP183759-2,1,LP183759-2,LP373688-3,Gram negative bacteria identified | Positive blood culture | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4,2,LP183758-4,LP446349-5,Gram negative bacteria | Positive blood culture | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP446349-5,1,LP446349-5,106905-3,GN bact Ct Bld Pos Qn NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP446349-5,2,LP446349-5,92769-9,GN bact DNA Bld Pos Ql NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP446349-5,3,LP446349-5,88259-7,GN bact Bld Pos Probe-Imp
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP446349-5,4,LP446349-5,75688-2,Deprecated GN bact Bld Pos Prb Mag-Imp
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4,3,LP183758-4,LP440793-0,Spirochete
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP440793-0,1,LP440793-0,LP443024-7,Spirochete | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP440793-0.LP443024-7,1,LP443024-7,104358-7,Spirochete Spec Micro
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4,4,LP183758-4,LP267092-7,Gram negative bacilli
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP267092-7,1,LP267092-7,LP444441-2,Gram negative bacilli | Isolate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP267092-7.LP444441-2,1,LP444441-2,90068-8,Gram neg bacilli Islt Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4,5,LP183758-4,LP200125-5,Multiple drug resistant gram negative organism
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP200125-5,1,LP200125-5,LP373690-9,Multiple drug resistant gram negative organism | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP200125-5.LP373690-9,1,LP373690-9,78702-8,MDR gram neg org Spec Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4,6,LP183758-4,LP433331-8,Gram negative bacteria.colistin resistant
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP433331-8,1,LP433331-8,LP444442-0,Gram negative bacteria.colistin resistant | Stool | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP433331-8.LP444442-0,1,LP444442-0,100910-9,Gram neg colistin resist Stl Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4,7,LP183758-4,LP343315-0,Gram negative bacteria DNA
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP183758-4.LP343315-0,1,LP343315-0,LP427562-6,Gram negative bacteria DNA | Positive blood culture | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9,3,LP37205-9,LP201734-3,Gastrointestinal pathogens
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP201734-3,1,LP201734-3,LP444443-8,Gastrointestinal pathogens | Stool | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP201734-3.LP444443-8,1,LP444443-8,79390-1,GI pathogens Stl NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP201734-3,2,LP201734-3,LP444444-6,Gastrointestinal pathogens | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP37205-9.LP201734-3.LP444444-6,1,LP444444-6,88516-0,GI pathogens Spec NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9,7,LP98185-9,LP135277-4,Bacterial genes
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4,1,LP135277-4,LP189395-9,Bacterial 16S rRNA
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP189395-9,1,LP189395-9,LP417990-1,Bacterial 16S rRNA gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP189395-9.LP417990-1,1,LP417990-1,LP419144-3,Bacterial 16S rRNA gene | Isolate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP189395-9.LP417990-1.LP419144-3,1,LP419144-3,94603-8,Bact 16S rRNA gene Islt-Seq
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP189395-9,2,LP189395-9,LP373769-1,Bacterial 16S rRNA | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP189395-9,3,LP189395-9,LP373770-9,Bacterial 16S rRNA | XXX.body fluid | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP189395-9,4,LP189395-9,LP373771-7,Bacterial 16S rRNA | XXX.tissue | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4,2,LP135277-4,LP129566-8,Bacteria identified based on 16S rRNA gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP129566-8,1,LP129566-8,LP373772-5,Bacteria identified based on 16S rRNA gene | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP129566-8.LP373772-5,1,LP373772-5,66885-5,Bacteria identified 16S rRNA Spec Seq
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4,3,LP135277-4,LP113738-1,Bacterial beta-glucuronidase uidA gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113738-1,1,LP113738-1,LP373773-3,Bacterial beta-glucuronidase uidA gene | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113738-1.LP373773-3,1,LP373773-3,63429-5,uidA gene Spec Ql NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4,4,LP135277-4,LP71604-0,Bacterial cytolethal distending toxin cdt gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP71604-0,1,LP71604-0,LP373774-1,Bacterial cytolethal distending toxin cdt gene | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP71604-0.LP373774-1,1,LP373774-1,53943-7,cdt gene Spec Ql NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4,5,LP135277-4,LP113733-2,Bacterial enterohemolysin ehlyA gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113733-2,1,LP113733-2,LP373775-8,Bacterial enterohemolysin ehlyA gene | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113733-2.LP373775-8,1,LP373775-8,63424-6,ehlyA Spec QA PCR NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4,6,LP135277-4,LP113734-0,Bacterial heat-labile enterotoxin LT gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113734-0,1,LP113734-0,LP373776-6,Bacterial heat-labile enterotoxin LT gene | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113734-0.LP373776-6,1,LP373776-6,63425-3,LT Spec Ql NAA+probe
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4,7,LP135277-4,LP113735-7,Bacterial heat-stable enterotoxin ST gene
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113735-7,1,LP113735-7,LP373777-4,Bacterial heat-stable enterotoxin ST gene | XXX | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP135277-4.LP113735-7.LP373777-4,1,LP373777-4,63426-1,ST Spec Ql NAA+probe
