PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,58,LP14082-9,LP373680-0,Bacteria | Stool | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373680-0,1,LP373680-0,6461-8,Bacteria Stl Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373680-0,2,LP373680-0,625-4,Bacteria Stl Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373680-0,3,LP373680-0,17964-8,Bacteria Stl Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373680-0,4,LP373680-0,17965-5,Bacteria Stl Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373680-0,5,LP373680-0,17966-3,Bacteria Stl Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373680-0,6,LP373680-0,17967-1,Bacteria Stl Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373680-0,7,LP373680-0,17968-9,Bacteria Stl Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,59,LP14082-9,LP443243-3,Bacteria | Surgical wound | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP443243-3,1,LP443243-3,105933-6,Bacteria Surgical wound Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP443243-3,2,LP443243-3,105924-5,Bacteria Surgical wound Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,60,LP14082-9,LP373681-8,Bacteria | Synovial fluid | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373681-8,1,LP373681-8,11101-3,Bacteria Snv HPF-#/area
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373681-8,2,LP373681-8,90278-3,Bacteria Snv Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373681-8,3,LP373681-8,87944-5,Bacteria Snv Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373681-8,4,LP373681-8,621-3,Bacteria Snv Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373681-8,5,LP373681-8,41600-8,Bacteria Snv Ql Micro
